,id,atm_group,address,address_rus,lat,long,target
0,8526.0,32.0,"EMELYANOVA,34          Y-SAKHALINSK   ","улица А.О. Емельянова, 34, Южно-Сахалинск, Сахалинская область, Россия",46.940995,142.738319,0.011499820918204876
1,8532.0,32.0,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",46.937353,142.753348,0.029710265035085937
2,8533.0,32.0,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",46.959413,142.741113,0.009539960883255441
3,8684.0,32.0,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",55.805827,37.515146,-0.09403462447649943
4,37.0,32.0,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.07927735200966299
5,313.0,32.0,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",43.16586,131.908212,-0.14500123147475488
6,335.0,32.0,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",55.716859,37.613063,-0.024682235235764367
7,358.0,32.0,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",43.117174,131.885503,-0.13342588349623222
8,2895.0,32.0,Zhivopisnaia 136       d.Velednikov   ,"деревня Веледниково, городской округ Истра, Московская область, Россия",55.799765,37.116016,0.14146935333316155
9,1975.0,496.5,BEKESHSKAYA 39            PENZA       ,"Бекешская улица, 39, Пенза, Россия, 440018",53.20322,44.978826,0.017258933266337633
10,1977.0,496.5,B.MOSKOVSKAYA 90A         VLADIMIR    ,"Большая Московская улица, 90А, Владимир, Россия, 600000",56.132925,40.419184,-0.013949004711653756
11,1992.0,496.5,GORKOGO 20                TAMBOV      ,"улица Максима Горького, 20, Тамбов, Россия",52.718497,41.454511,-0.048435739408796634
12,1998.0,496.5,KURASHOVA 28/1            YAKUTSK     ,"улица Курашова, 28/1, Якутск, Республика Саха (Якутия), Россия, 677000",62.033259,129.736382,-0.06429329744918175
13,2006.0,496.5,LENINA 32                 MUROM       ,"улица Ленина, 32, Муром, Владимирская область, Россия, 602267",55.577108,42.05437,-0.1001214289644553
14,2011.0,496.5,BOROVSKAYA 5              BALABANOVO  ,"Боровская улица, 5, Балабаново, Боровский район, Калужская область, Россия, 249000",55.180598,36.655611,-0.0008294956654186244
15,2012.0,496.5,SOVETSKAYA 21             ZHUKOV      ,"Советская улица, 21, Жуков, Калужская область, Россия, 249191",55.027991,36.750518,-0.0476678404207127
16,2017.0,496.5,DORZHIEVA 24A             MUKHORSHIBIR,"улица Доржиева, 24А, село Мухоршибирь, Республика Бурятия, Россия",51.048934,107.822322,0.017372643984509075
17,2022.0,496.5,SADOVAYA 27B              KRIVODANOVKA,"Садовая улица, 27, село Криводановка, Новосибирский район, Новосибирская область, Россия",55.086363,82.64683,-0.02765736578751833
18,2023.0,496.5,SOVETSKAYA 19             KUGESI      ,"Советская улица, 19, поселок городского типа Кугеси, Чебоксарский район, Чувашская Республика, Россия, 429500",56.029642,47.294593,-0.07787119186138325
19,2027.0,496.5,MELNIKOVA 106             CHERLAK     ,"улица Мельникова, 106, посёлок городского типа Черлак, Черлакский район, Омская область, Россия, 646250",54.151887,74.79789,-0.050626685528738495
20,2033.0,496.5,POBEDY 67/2               PETROPAVLOVS,"проспект Победы, 67/2, Петропавловск-Камчатский, Камчатский край, Россия, 683902",53.070803,158.58752,0.019060742852095674
21,2034.0,496.5,POLEVAYA 4                MEDVEDEVO   ,"Полевая улица, 4, посёлок городского типа Медведево, Медведевский район, Республика Марий Эл, Россия, 425200",56.63759,47.803974,-0.027475196122957755
22,2035.0,496.5,UPITA 5A                  KIROV       ,"улица Андрея Упита, 5А, Киров, Россия, 610050",58.605564,49.591163,-0.10137559085407266
23,2850.0,496.5,VOSTOCHNAYA 42/7          ORENBURG    ,"Восточная улица, 42/7, Оренбург, Россия, 460021",51.784175,55.153504,-0.08652950912830405
24,2873.0,496.5,AMURSKAYA 13              CHITA       ,"Амурская улица, 13, Чита, Забайкальский край, Россия, 672039",52.023722,113.513428,-0.07328752900727235
25,2876.0,496.5,VOROVSKOGO 43             KIROV       ,"улица Воровского, 43, Киров, Россия",58.594438,49.666657,-0.11059736826592738
26,2877.0,496.5,LENINA 3                  PRISTEN     ,"улица Ленина, 3, посёлок городского типа Пристень, Пристенский район, Курская область, Россия, 306200",51.235052,36.694293,-0.07879399867799482
27,2897.0,496.5,KARLA MARKSA 76/1         KURGAN      ,"улица Карла Маркса, 76/1, Курган, Россия",55.442245,65.35418,-0.026146588231944642
28,2900.0,496.5,KALACHINSKAYA 25          KALACHINSK  ,"Калачинская улица, 25, Калачинск, Омская область, Россия, 646900",55.047817,74.588663,0.018208827536353327
29,2914.0,496.5,ZAVOYKO 7                 ELIZOVO     ,"улица Завойко, 7, Елизово, Камчатский край, Россия, 684000",53.1871,158.383863,0.061350927669825916
